dagsetning,konnun,flokkur,prosent
2017-10-04,Fréttablaðið haust 2017,Samf.,10,5
2017-10-04,Fréttablaðið haust 2017,Miðfl.,8,9
2017-10-04,Fréttablaðið haust 2017,Fl. fólksins,5,8
2017-10-04,Fréttablaðið haust 2017,Framsóknarfl.,5,5
2017-10-04,Fréttablaðið haust 2017,Viðreisn,3
2017-10-04,Fréttablaðið haust 2017,Björt framtíð,2,6
2017-10-04,Fréttablaðið haust 2017,Aðrir,1,4
2017-10-07,Morgunblaðið haust 2017,Vinstri græn,28,2
2017-10-07,Morgunblaðið haust 2017,Sjálfstæðisfl.,20,7
2017-10-07,Morgunblaðið haust 2017,Samf.,10,8
2017-10-07,Morgunblaðið haust 2017,Miðfl.,9,5
2017-10-07,Morgunblaðið haust 2017,Píratar,9,1
2017-10-07,Morgunblaðið haust 2017,Fl. fólksins,9
2017-10-07,Morgunblaðið haust 2017,Framsóknarfl.,5,5
2017-10-07,Morgunblaðið haust 2017,Viðreisn,3,1
2017-10-07,Morgunblaðið haust 2017,Björt framtíð,2,7
2017-10-07,Morgunblaðið haust 2017,Aðrir,0,4
2017-10-11,Fréttablaðið haust 2017,Vinstri græn,29,9
2017-10-11,Fréttablaðið haust 2017,Sjálfstæðisfl.,22,2
2017-10-11,Fréttablaðið haust 2017,Miðfl.,9,2
2017-10-11,Fréttablaðið haust 2017,Píratar,8,5
2017-10-11,Fréttablaðið haust 2017,Samf.,8,3
2017-10-11,Fréttablaðið haust 2017,Framsóknarfl.,7,1
2017-10-11,Fréttablaðið haust 2017,Fl. fólksins,6,1
2017-10-11,Fréttablaðið haust 2017,Björt framtíð,3,6
2017-10-11,Fréttablaðið haust 2017,Viðreisn,3,3
2017-10-11,Fréttablaðið haust 2017,Aðrir,1,8
2017-10-11,MMR,Vinstri græn,21,8
2017-10-11,MMR,Sjálfstæðisfl.,21,1
2017-10-11,MMR,Samf.,13
2017-10-11,MMR,Miðfl.,10,7
2017-10-11,MMR,Píratar,10,5
2017-10-11,MMR,Fl. fólksins,7,4
2017-10-11,MMR,Framsóknarfl.,5,9
2017-10-11,MMR,Björt framtíð,4,2
2017-10-11,MMR,Viðreisn,3,6
2017-10-11,MMR,Aðrir,1,8
2017-10-13,Gallup,Sjálfstæðisfl.,24
2017-10-13,Gallup,Vinstri græn,23
2017-10-13,Gallup,Samf.,13
2017-10-13,Gallup,Miðfl.,9
2017-10-13,Gallup,Píratar,9
2017-10-13,Gallup,Framsóknarfl.,7
2017-10-13,Gallup,Fl. fólksins,6
2017-10-13,Gallup,Viðreisn,5
2017-10-13,Gallup,Björt framtíð,3
2017-10-13,Gallup,Aðrir,1
2017-10-14,Morgunblaðið haust 2017,Vinstri græn,27,4
2017-10-14,Morgunblaðið haust 2017,Sjálfstæðisfl.,22,6
2017-10-14,Morgunblaðið haust 2017,Samf.,15,3
2017-10-14,Morgunblaðið haust 2017,Píratar,9,2
2017-10-14,Morgunblaðið haust 2017,Fl. fólksins,6,5
2017-10-14,Morgunblaðið haust 2017,Miðfl.,6,4
2017-10-14,Morgunblaðið haust 2017,Framsóknarfl.,5,5
2017-10-14,Morgunblaðið haust 2017,Viðreisn,3,4
2017-10-14,Morgunblaðið haust 2017,Björt framtíð,2,6
2017-10-14,Morgunblaðið haust 2017,Aðrir,1,1
2017-10-17,Fréttablaðið haust 2017,Vinstri græn,27
2017-10-17,Fréttablaðið haust 2017,Sjálfstæðisfl.,22,2
2017-10-17,Fréttablaðið haust 2017,Miðfl.,10,7
2017-10-17,Fréttablaðið haust 2017,Samf.,10,4
2017-10-17,Fréttablaðið haust 2017,Píratar,10
2017-10-17,Fréttablaðið haust 2017,Framsóknarfl.,7,5
2017-10-17,Fréttablaðið haust 2017,Viðreisn,5,5
2017-10-17,Fréttablaðið haust 2017,Fl. fólksins,3,7
2017-10-17,Fréttablaðið haust 2017,Björt framtíð,2,1
2017-10-17,Fréttablaðið haust 2017,Aðrir,1,4
2017-10-18,MMR,Sjálfstæðisfl.,19,9
2017-10-18,MMR,Vinstri græn,19,1
2017-10-18,MMR,Samf.,15,9
2017-10-18,MMR,Píratar,11,9
2017-10-18,MMR,Miðfl.,11
2017-10-18,MMR,Framsóknarfl.,8
2017-10-18,MMR,Viðreisn,6,7
2017-10-18,MMR,Fl. fólksins,5,3
2017-10-18,MMR,Björt framtíð,1,6
2017-10-18,MMR,Aðrir,0,8
2017-10-20,Gallup könnun 13.-19. október,Vinstri græn,23,3
2017-10-20,Gallup könnun 13.-19. október,Sjálfstæðisfl.,22,6
2017-10-20,Gallup könnun 13.-19. október,Samf.,13,3
2017-10-20,Gallup könnun 13.-19. október,Píratar,10,7
2017-10-20,Gallup könnun 13.-19. október,Miðfl.,9,4
2017-10-20,Gallup könnun 13.-19. október,Framsóknarfl.,7,4
2017-10-20,Gallup könnun 13.-19. október,Viðreisn,5,8
2017-10-20,Gallup könnun 13.-19. október,Fl. fólksins,5,7
2017-10-20,Gallup könnun 13.-19. október,Björt framtíð,1,2
2017-10-20,Gallup könnun 13.-19. október,Aðrir,0,5
2017-10-21,Morgunblaðið haust 2017, 21.10.2017,Sjálfstæðisfl.,25,1
2017-10-21,Morgunblaðið haust 2017, 21.10.2017,Vinstri græn,23,2
2017-10-21,Morgunblaðið haust 2017, 21.10.2017,Samf.,15,6
2017-10-21,Morgunblaðið haust 2017, 21.10.2017,Miðfl.,9,8
2017-10-21,Morgunblaðið haust 2017, 21.10.2017,Píratar,8,2
2017-10-21,Morgunblaðið haust 2017, 21.10.2017,Framsóknarfl.,7,1
2017-10-21,Morgunblaðið haust 2017, 21.10.2017,Viðreisn,5,7
2017-10-21,Morgunblaðið haust 2017, 21.10.2017,Fl. fólksins,3,3
2017-10-21,Morgunblaðið haust 2017, 21.10.2017,Björt framtíð,1,5
2017-10-23,MMR,Sjálfstæðisfl.,22,9
2017-10-23,MMR,Vinstri græn,19,9
2017-10-23,MMR,Samf.,13,5
2017-10-23,MMR,Miðfl.,12,3
2017-10-23,MMR,Píratar,9,3
2017-10-23,MMR,Framsóknarfl.,8,6
2017-10-23,MMR,Viðreisn,5,5
2017-10-23,MMR,Fl. fólksins,4,7
2017-10-23,MMR,Björt framtíð,1,8
2017-10-23,MMR,Aðrir,1,3
2017-10-26,Fréttablaðið haust 2017,Sjálfstæðisfl.,24,1
2017-10-26,Fréttablaðið haust 2017,Vinstri græn,19,2
2017-10-26,Fréttablaðið haust 2017,Samf.,14,3
2017-10-26,Fréttablaðið haust 2017,Miðfl.,9,6
2017-10-26,Fréttablaðið haust 2017,Píratar,9,4
2017-10-26,Fréttablaðið haust 2017,Viðreisn,7,8
2017-10-26,Fréttablaðið haust 2017,Framsóknarfl.,6,2
2017-10-26,Fréttablaðið haust 2017,Fl. fólksins,4,4
2017-10-26,Fréttablaðið haust 2017,Aðrir,3,4
2017-10-26,Fréttablaðið haust 2017,Björt framtíð,1,9
2017-10-27,Gallup könnun 27. október,Sjálfstæðisfl.,25,3
2017-10-27,Gallup könnun 27. október,Vinstri græn,17,3
2017-10-27,Gallup könnun 27. október,Samf.,15,5
2017-10-27,Gallup könnun 27. október,Miðfl.,9,7
2017-10-27,Gallup könnun 27. október,Píratar,9
2017-10-27,Gallup könnun 27. október,Framsóknarfl.,8,9
2017-10-27,Gallup könnun 27. október,Viðreisn,8,2
2017-10-27,Gallup könnun 27. október,Fl. fólksins,4
2017-10-27,Gallup könnun 27. október,Björt framtíð,1,5
2017-10-27,Gallup könnun 27. október,Aðrir,0,7
2017-10-27,Morgunblaðið haust 2017, 27.10.2017,Sjálfstæðisfl.,24,5
2017-10-27,Morgunblaðið haust 2017, 27.10.2017,Vinstri græn,20,2
2017-10-27,Morgunblaðið haust 2017, 27.10.2017,Samf.,15,3
2017-10-27,Morgunblaðið haust 2017, 27.10.2017,Miðfl.,9,3
2017-10-27,Morgunblaðið haust 2017, 27.10.2017,Píratar,8,8
2017-10-27,Morgunblaðið haust 2017, 27.10.2017,Viðreisn,8,3
2017-10-27,Morgunblaðið haust 2017, 27.10.2017,Framsóknarfl.,7,9
2017-10-27,Morgunblaðið haust 2017, 27.10.2017,Fl. fólksins,4,2
2017-10-27,Morgunblaðið haust 2017, 27.10.2017,Björt framtíð,1,3
